objective_number,objective_title,objective_repo,issue_number,issue_title,issue_repo,depth,pr_number,pr_title,pr_repo,pr_state,pr_url
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,160,Update Data Visualization header link,Disasters-Learning-Portal/disasters-portal,4,241,fix: update Data Visualization header link with pre-filtered layers,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/241
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,163,Update Data Visualization on Respond/Recover Pages,Disasters-Learning-Portal/disasters-portal,4,247,"fix: homepage, respond page, recover page - data visualization updates [40, 52, 163]",Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/247
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,164,Add search and filter options to specific pages,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,166,Update Events - Product Gallery Card Content Added,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,167,Update Dataset Thumbnail Images,Disasters-Learning-Portal/disasters-portal,4,179,feat: update images,Disasters-Learning-Portal/disasters-portal,CLOSED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/179
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,168,Update Dataset Theme and Category Tags - Sentinel2 Datasets,Disasters-Learning-Portal/disasters-portal,4,174,feat: california wildfires event and sentinel 2 dataset updates,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/174
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,168,Update Dataset Theme and Category Tags - Sentinel2 Datasets,Disasters-Learning-Portal/disasters-portal,4,242,feat: add themes and categories to Sentinel-2 datasets,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/242
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,169,Add Datasets - Sentinel2 NBR and dNBR,Disasters-Learning-Portal/disasters-portal,4,174,feat: california wildfires event and sentinel 2 dataset updates,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/174
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,170,Add caption to Home page Data Visualization,Disasters-Learning-Portal/disasters-portal,4,243,feat: Add caption support for data vis blocks,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/243
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,171,Update Black marble metadata so that home page viz info isn't long,Disasters-Learning-Portal/disasters-portal,4,,,,,
